Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Don't Let Him Know,Prism,Small Change,7tgsJJbwoEv389fPmb8fqe,29,,0.558,0.644,1,-7.992,0,0.0317,0.053,5.04e-05,0.111,0.797,126.11,audio_features,188600,4
867-5309 / Jenny (Re-Recorded Version),Tommy Tutone,867-5309 / Jenny (Re-Recorded Version),08cX6cPeOywTzqTaLF6lXn,54,https://p.scdn.co/mp3-preview/cb04d6d36402259b3174fca9ec7957d41faac9a0?cid=3502c8805da84b25aa0305556012150b,0.588,0.699,7,-10.193,1,0.0589,0.0228,0.00404,0.0692,0.6,137.633,audio_features,228000,4
Heat Of The Moment,Asia,Asia,1nmZ8yqKkfooOuYvtFctDp,72,,0.306,0.86,1,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,audio_features,227893,4
No One Like You - 2015 Remaster,Scorpions,Blackout,0hLQWHwB6GZlkASpS7DkdW,26,,0.441,0.796,9,-2.851,0,0.0431,0.0167,2.52e-06,0.166,0.696,118.146,audio_features,238867,4
Stone Cold,Rainbow,Straight Between The Eyes,7HXYoe65kmrPrJR1r0DGtW,52,,0.419,0.613,7,-8.995,1,0.0316,0.0523,6.35e-05,0.361,0.733,112.638,audio_features,317307,4
Hurts So Good,John Mellencamp,American Fool,67eX1ovaHyVPUinMHeUtIM,74,,0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,audio_features,218960,4
Caught Up In You,38 Special,Special Forces,3jYRpwbctfqB77uU7T7K3U,66,,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,audio_features,279333,4
Eye of the Tiger,Survivor,Eye Of The Tiger,2HHtWyy5CgaQbC7XSoOb0e,79,https://p.scdn.co/mp3-preview/a25804a7e4201e835716a92445f8d9b78002e22c?cid=3502c8805da84b25aa0305556012150b,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,audio_features,243773,4
Think I'm In Love,Eddie Money,No Control,6mJQe0vTIojlxwyMwwy6YR,58,https://p.scdn.co/mp3-preview/09584d08120bf50cf59a522cf4fe2fdd56f4645a?cid=3502c8805da84b25aa0305556012150b,0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,audio_features,188533,4
Everybody Wants You,Billy Squier,Absolute Hits,2Z9B8sd6HgEfCWqvOfhFD0,57,,0.529,0.906,7,-6.116,1,0.0517,0.105,3.78e-05,0.0757,0.965,131.847,audio_features,228147,4
New World Man,Rush,Signals,2l1AraumK6y3VUwi8Bw7iJ,50,,0.522,0.812,2,-9.651,1,0.0383,0.185,0.182,0.0878,0.864,157.912,audio_features,222320,4
Dirty Laundry,Don Henley,I Can’t Stand Still,1deZHQ9Na7bnWA9pulmlXD,61,https://p.scdn.co/mp3-preview/e0609c1914cde214b208d63a496a4fb9999b4a01?cid=3502c8805da84b25aa0305556012150b,0.756,0.772,5,-6.65,0,0.0306,0.0848,0.0026,0.0792,0.954,98.382,audio_features,336800,4
Shock The Monkey,Peter Gabriel,Peter Gabriel 4: Security (Remastered),70SdvAYlIQC3KN4LPraAvu,46,,0.76,0.657,0,-8.501,1,0.0766,0.0946,0.0019,0.0606,0.906,74.19,audio_features,328440,4
Down Under,Men At Work,Business As Usual,3ZZq9396zv8pcn5GYVhxUi,79,https://p.scdn.co/mp3-preview/7caffe3fc98c828bdfdd88022a6b331250fdd1ca?cid=3502c8805da84b25aa0305556012150b,0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,audio_features,222320,4
You Got Lucky,Tom Petty and the Heartbreakers,Long After Dark,5eMZ3EPIMGoWlrrVhxatdv,61,,0.687,0.649,9,-6.776,0,0.0273,0.0381,1.08e-05,0.043,0.641,114.811,audio_features,217960,4
Hungry Like the Wolf - 2009 Remaster,Duran Duran,Rio (Collector's Edition),39lSeqnyjZJejRuaREfyLL,77,https://p.scdn.co/mp3-preview/2a75c1b7c9d5aa716edc8162b19da4d627e0be43?cid=3502c8805da84b25aa0305556012150b,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,audio_features,220627,4
Twilight Zone,Golden Earring,Cut,1miXjv3X34Q9w7wDZoBnDz,53,https://p.scdn.co/mp3-preview/421fee26519b44efff69a042d9e4b6766f61797c?cid=3502c8805da84b25aa0305556012150b,0.656,0.756,11,-6.516,0,0.0399,0.00785,3.49e-05,0.0927,0.542,118.56,audio_features,478107,4
Separate Ways (Worlds Apart) [2023 Remaster],Journey,Frontiers (2023 Remaster),1pTw2cNrp9L3esxLAvWnN2,76,https://p.scdn.co/mp3-preview/9de256f2fe26c2e636c807281e4741f1b0ca9ab7?cid=3502c8805da84b25aa0305556012150b,0.467,0.943,0,-5.626,1,0.0576,0.0189,4.51e-06,0.216,0.453,131.536,audio_features,323667,4
Photograph,Def Leppard,Pyromania,18URo35acNKRTHfEdjTcGn,72,,0.602,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679,audio_features,247962,4
She's A Beauty - Remastered 1991,The Tubes,Outside Inside,7HF88mJXq8DpotZohoW2mo,56,,0.689,0.789,2,-8.565,1,0.0359,0.0684,0.000516,0.297,0.631,110.739,audio_features,240667,4
Rock Of Ages,Def Leppard,Pyromania (Deluxe),2AmEv442DGwSxMGZ9XEvBA,67,,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893,audio_features,247829,4
Every Breath You Take,The Police,Synchronicity (Remastered 2003),1JSTJqkT5qHq8MDJnJbRE1,91,,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,253920,4
Other Arms - 2006 Remaster,Robert Plant,The Principle of Moments,12EdTKuwDPRTVexWEgu8IE,32,https://p.scdn.co/mp3-preview/327cc29a1f7620963bbe349a69fe935dfdf3fcc0?cid=3502c8805da84b25aa0305556012150b,0.582,0.976,7,-5.69,0,0.0476,0.0361,0.00392,0.329,0.547,106.349,audio_features,261587,4
Don't Cry,Asia,Alpha,3rZLNPadgHyZ2ST4UgrsI1,49,,0.363,0.867,0,-8.635,1,0.0563,0.2,1.15e-06,0.134,0.491,147.93,audio_features,210400,4
King Of Pain,The Police,Synchronicity (Remastered 2003),1V15l05snHYHYVxerjMFGo,67,,0.518,0.725,2,-8.854,1,0.0338,0.389,0.000192,0.0671,0.646,124.151,audio_features,299040,4
How Can I Refuse,Heart,Passionworks,2EPOoZCvCYGfl5HqhXLpn6,36,https://p.scdn.co/mp3-preview/cd1d71292156e7347e48d3a46976906136b54a54?cid=3502c8805da84b25aa0305556012150b,0.664,0.569,4,-10.427,1,0.0325,0.0182,1.41e-05,0.0951,0.705,132.593,audio_features,232067,4
Suddenly Last Summer,The Motels,Little Robbers,08pnzLwZrh8lernK2aRaGz,47,,0.725,0.73,2,-7.072,1,0.0266,0.102,0.0912,0.0931,0.635,120.257,audio_features,216533,4
Love Is A Battlefield,Pat Benatar,The Collection,4wYqPn3Kg3vZrkVgW2oqAG,71,,0.669,0.633,2,-11.903,0,0.049,0.0137,0.0178,0.0979,0.862,90.626,audio_features,245400,4
Heart And Soul,Huey Lewis & The News,Sports,3pecdrUzTZjaqrw6iCLTvd,58,,0.66,0.806,2,-8.01,1,0.0324,0.00332,1.4e-05,0.0986,0.944,122.041,audio_features,253253,4
Owner of a Lonely Heart,Yes,90125 (Deluxe Version),0GTK6TesV108Jj5D3MHsYb,73,https://p.scdn.co/mp3-preview/c82f78cdb980913052039da865227c934160df33?cid=3502c8805da84b25aa0305556012150b,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,audio_features,268507,4
If I'd Been The One,38 Special,Tour De Force,6XomFpGnHv0hYgUoW75dOw,56,,0.567,0.761,7,-11.78,1,0.0279,0.00486,3.43e-05,0.0547,0.797,142.941,audio_features,235640,4
Jump - 2015 Remaster,Van Halen,1984 (Remastered),7N3PAbqfTjSEU1edb2tY8j,81,https://p.scdn.co/mp3-preview/86b253d59e8485604c5cdcba34b67caa9307c17f?cid=3502c8805da84b25aa0305556012150b,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,audio_features,241600,4
Got a Hold on Me,Christine McVie,Christine McVie,0FCgqHNdcbhGIEmU8r6ZF1,50,https://p.scdn.co/mp3-preview/f73363ec9463ee46ed701f0e9458bba00eac8a94?cid=3502c8805da84b25aa0305556012150b,0.75,0.787,4,-5.127,1,0.0292,0.144,1.88e-05,0.0513,0.718,129.37,audio_features,232907,4
"A Fine, Fine Day",Tony Carey,Some Tough City (2018 Expanded Edition),5091oN6DGFSX8vfZsJyJij,38,https://p.scdn.co/mp3-preview/1c1ac73ab2293af4613ec748bee5c861935423ba?cid=3502c8805da84b25aa0305556012150b,0.639,0.579,8,-9.326,1,0.0342,0.0591,0.00394,0.769,0.754,113.225,audio_features,265600,4
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,The Singles (Expanded),63CHa6rmamv9OsehkRD8oz,79,https://p.scdn.co/mp3-preview/521852836c6bfd67f27d4d286e0f9ee509e24f8a?cid=3502c8805da84b25aa0305556012150b,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,audio_features,206360,4
You Might Think,The Cars,Heartbeat City (Expanded Edition),35wVRTJlUu2kDkqXFegOKt,69,https://p.scdn.co/mp3-preview/71f0a43e961ab862777866bb6b7da05546ff927b?cid=3502c8805da84b25aa0305556012150b,0.728,0.855,2,-6.031,1,0.0333,0.109,0.000576,0.113,0.971,133.887,audio_features,184717,4
Oh Sherrie,Steve Perry,Street Talk (Expanded Edition),4zEi4tr3lEhiAvTRxEzbEz,66,https://p.scdn.co/mp3-preview/ea95562bd8c925f98e29300b42c1a58cce6667e2?cid=3502c8805da84b25aa0305556012150b,0.333,0.695,5,-5.116,1,0.0465,0.372,7.13e-06,0.107,0.317,203.753,audio_features,229347,4
Run Runaway,Slade,The Amazing Kamikaze Syndrome (Expanded),3ZiK1M9FDWHhgG180bD6DQ,51,https://p.scdn.co/mp3-preview/8d7bbcc77c4e756483393976b3cdc85bfc55ea3d?cid=3502c8805da84b25aa0305556012150b,0.585,0.855,2,-7.217,1,0.0602,0.000113,0.000211,0.0539,0.765,128.527,audio_features,300920,4
Magic - 2017 Remaster,The Cars,Heartbeat City (Expanded Edition),0SAbkr0dS7WK3yJSjaZSZl,57,https://p.scdn.co/mp3-preview/cc4e74f080a046d43aabf6bb4023c1fa5a771b94?cid=3502c8805da84b25aa0305556012150b,0.73,0.794,9,-6.381,1,0.0396,0.12,0.000189,0.138,0.964,117.879,audio_features,237232,4
Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,7FwBtcecmlpc1sLySPXeGE,83,https://p.scdn.co/mp3-preview/f98a1f3b07ca22d6ccda4a2e360981d1b0bfcbbc?cid=3502c8805da84b25aa0305556012150b,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,audio_features,241307,4
No Way Out,Jefferson Starship,Nuclear Furniture,5ncLNCx0nnz763Aug1q4ay,43,https://p.scdn.co/mp3-preview/46b8f4fc64eb34703cfee344bb26b0b188d64e90?cid=3502c8805da84b25aa0305556012150b,0.587,0.791,5,-5.139,0,0.0301,0.0222,0.000115,0.0376,0.349,105.591,audio_features,262573,4
The Warrior (feat. Patty Smyth),Scandal,Warrior,2hQnLzly0jRPpLPp23sA4i,57,https://p.scdn.co/mp3-preview/25561e457c97fa125e520a70faa5a6555ebf9817?cid=3502c8805da84b25aa0305556012150b,0.606,0.777,2,-11.034,1,0.0347,0.089,0.0,0.321,0.859,123.077,audio_features,240827,4
Rock Me Tonite,Billy Squier,Signs Of Life,12c1PXyghlSuNVO9GZi0DH,49,,0.472,0.724,9,-5.061,0,0.0522,0.0987,0.0,0.239,0.673,127.36,audio_features,297267,4
Missing You,John Waite,No Brakes,1Qrdlkgg9I4J7r3P4kZNwr,75,,0.552,0.552,11,-9.736,0,0.0364,0.052,0.0,0.046,0.593,208.571,audio_features,269760,4
Are We Ourselves?,The Fixx,Phantoms,3RKV0qgfRwF902iLcbdZDv,28,,0.637,0.591,0,-14.058,1,0.0482,0.0234,0.0048,0.2,0.97,139.257,audio_features,147760,4
On the Dark Side - Edit,John Cafferty & the Beaver Brown Band,Eddie and The Cruisers: The Unreleased Tapes,3mnNqugL0grFxgGd7J6YCJ,44,https://p.scdn.co/mp3-preview/d47093b83f8d7dc2df60b137ba0ddb3fca14db84?cid=3502c8805da84b25aa0305556012150b,0.407,0.948,2,-5.186,1,0.168,0.00653,0.00126,0.661,0.479,171.319,audio_features,112773,4
I Can't Hold Back,Survivor,Vital Signs,5JygXNTEJcNqcRkfUoBAKT,49,https://p.scdn.co/mp3-preview/893f8c0a6097efd333a67c9ed38293a9f2c76294?cid=3502c8805da84b25aa0305556012150b,0.509,0.681,4,-10.659,1,0.0306,0.499,5.36e-05,0.1,0.33,143.645,audio_features,238800,4
Run To You,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),2RWFncSWZEhSRRifqiDNVV,75,,0.561,0.811,4,-6.157,1,0.0265,0.00515,3.6e-05,0.287,0.635,126.593,audio_features,233270,4
The Boys Of Summer,Don Henley,Building The Perfect Beast,4gvea7UlDkAvsJBPZAd4oB,79,,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,audio_features,288733,4
I Want to Know What Love Is - 1999 Remaster,Foreigner,Agent Provocateur,1JLn8RhQzHz3qDqsChcmBl,84,https://p.scdn.co/mp3-preview/23f9b7ad0a9008aca1017cce9b5ba375b322ac8b?cid=3502c8805da84b25aa0305556012150b,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,audio_features,304787,4
The Old Man Down The Road,John Fogerty,Centerfield - 25th Anniversary,0tkfgenYMiMQPIma894lgc,21,,0.768,0.809,9,-5.816,1,0.0289,0.0271,0.000633,0.0584,0.737,133.838,audio_features,214093,4
Somebody,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),3KTxIOIZIE7UM6vwCX4Ofv,61,,0.545,0.749,9,-5.485,0,0.0273,0.00245,5.17e-06,0.0516,0.457,97.605,audio_features,283387,4
Just Another Night,Mick Jagger,She's The Boss,4pVTneBibGa5HU7HzAOvY8,46,,0.766,0.878,9,-4.862,0,0.0585,0.127,0.00391,0.102,0.833,132.011,audio_features,315613,4
Radioactive,The Firm,The Firm,0RslgVCtc9FCHd6z83YPkB,44,https://p.scdn.co/mp3-preview/4305fe4e0e078e5fe0507f9e85b2bd06bb840d7f?cid=3502c8805da84b25aa0305556012150b,0.579,0.601,9,-14.415,0,0.0337,0.163,0.0,0.0536,0.615,106.2,audio_features,169200,4
All She Wants To Do Is Dance,Don Henley,Building The Perfect Beast,4yCRCEAfCMRyqCpBSd0qDp,58,,0.702,0.558,7,-11.952,1,0.0288,0.0304,0.0,0.0528,0.903,114.932,audio_features,269107,4
Forever Man - 1999 Remaster,Eric Clapton,Behind the Sun,6x7jcl21wMqyt5R2bAxPyP,51,https://p.scdn.co/mp3-preview/5bf90f03e61cade33b1afccdb3eca69f2c5707f4?cid=3502c8805da84b25aa0305556012150b,0.649,0.9,2,-6.018,0,0.0427,0.207,0.0105,0.166,0.799,111.142,audio_features,191560,4
Don't You (Forget About Me),Simple Minds,Once Upon A Time (Super Deluxe),3fH4KjXFYMmljxrcGrbPj9,80,,0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,audio_features,263040,4
"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,The Essential Bruce Springsteen (Bonus Tracks),5xYCSEP2FWHMkVun6GIyDk,46,https://p.scdn.co/mp3-preview/63baa338ef863475b42f4925850abc6b2f5cdbfe?cid=3502c8805da84b25aa0305556012150b,0.316,0.623,7,-6.411,1,0.0338,0.03,7e-05,0.601,0.361,161.589,audio_features,308133,4
Little by Little - 2006 Remaster,Robert Plant,Shaken 'N' Stirred,7igoJOuQB199t3sRaKVErt,39,https://p.scdn.co/mp3-preview/4faef8a625c99db3f02adba3a1da1169b7186c9e?cid=3502c8805da84b25aa0305556012150b,0.639,0.589,0,-8.099,1,0.0337,0.0178,0.00216,0.263,0.578,103.591,audio_features,284387,4
Tough All Over,John Cafferty & the Beaver Brown Band,Tough All Over,5u9hEzSlbzmZpwopPn1j9G,25,https://p.scdn.co/mp3-preview/a8b085df6ea0796d3c9dd4fd916cd4719715850c?cid=3502c8805da84b25aa0305556012150b,0.609,0.799,9,-10.352,1,0.0349,0.0188,1.01e-05,0.0779,0.505,132.961,audio_features,277533,4
If You Love Somebody Set Them Free,Sting,The Dream Of The Blue Turtles,5Xhqe9xu6bKRSqLj1mS1SB,59,,0.627,0.849,9,-10.61,0,0.0309,0.137,0.0,0.319,0.817,125.058,audio_features,256227,4
The Power Of Love,Huey Lewis & The News,Greatest Hits: Huey Lewis And The News,2olVm1lHicpveMAo4AUDRB,79,,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,audio_features,234333,4
Money For Nothing,Dire Straits,Brothers In Arms - 20th Anniversary Edition,4bO6DljpuAeQh6HS20i0I5,74,,0.642,0.766,2,-6.82,0,0.0401,0.0407,0.000103,0.0593,0.593,134.185,audio_features,504333,4
Fortress Around Your Heart,Sting,The Dream Of The Blue Turtles,06IsyJksK6vgJX66rU77Ij,51,,0.681,0.476,7,-15.447,1,0.0294,0.294,6.18e-06,0.079,0.668,120.535,audio_features,279693,4
Lonely Ol' Night,John Mellencamp,Scarecrow,0TBMx8wWJkwSEVSOJUn21e,54,,0.634,0.886,9,-3.988,1,0.0329,0.00453,0.00892,0.0397,0.756,126.558,audio_features,225173,4
We Built This City,Starship,Knee Deep In The Hoopla,6OnfBiiSc9RGKiBKKtZXgQ,79,https://p.scdn.co/mp3-preview/7c136e7220892133e94c4d13d4ca7262d3d5cf4c?cid=3502c8805da84b25aa0305556012150b,0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,audio_features,296080,4
You Belong To The City,Glenn Frey,Above The Clouds - The Collection (Deluxe),0b8eSsBka9epA2J0wnPMax,58,,0.669,0.703,4,-5.789,0,0.0299,0.06,0.00147,0.0623,0.436,109.48,audio_features,352760,4
Sleeping Bag,ZZ Top,Afterburner,2i14DjGjf1UQ9VwvB2vRZP,46,https://p.scdn.co/mp3-preview/a15a3bfb35590a1b29b86453df687c5a6e8fb677?cid=3502c8805da84b25aa0305556012150b,0.62,0.688,7,-12.892,1,0.0436,0.00181,0.00494,0.0464,0.793,112.122,audio_features,242333,4
Tonight She Comes - 2017 Remaster,The Cars,Heartbeat City (Expanded Edition),38grNTrwhKRovfJNgtN3l8,48,https://p.scdn.co/mp3-preview/be253263866278fba687720860a21e21dcc87a2a?cid=3502c8805da84b25aa0305556012150b,0.627,0.909,5,-5.566,1,0.0274,0.0123,0.0164,0.129,0.949,141.675,audio_features,237668,4
Talk to Me,Stevie Nicks,Rock a Little,0lqNtjLgTJYScspOhJXxtx,53,https://p.scdn.co/mp3-preview/9a1214e77f92af07322d16fabbad52a4c49f9180?cid=3502c8805da84b25aa0305556012150b,0.643,0.712,5,-6.385,1,0.0266,0.0576,0.00467,0.287,0.636,103.07,audio_features,250027,4
Silent Running,Mike + The Mechanics,Mike + The Mechanics,0SCB5dxFddIAhg1ed7Ko5Z,14,,0.515,0.507,2,-9.766,0,0.0407,0.47,0.000485,0.168,0.245,130.957,audio_features,374733,4
Kyrie,Mr. Mister,Welcome To The Real World,5K3Q1gue9nWLLwh6bYQFoB,59,https://p.scdn.co/mp3-preview/1af37e62bb9dc41f9651001c85e96e9e5e574032?cid=3502c8805da84b25aa0305556012150b,0.496,0.566,0,-13.749,1,0.035,0.0824,0.0,0.13,0.672,89.913,audio_features,265840,4
Stages,ZZ Top,Afterburner,6DjbtbgegRkzPjNJpm48Dh,40,https://p.scdn.co/mp3-preview/e9ebbb428f0906fb8e42564b0996dbc16f0940da?cid=3502c8805da84b25aa0305556012150b,0.453,0.786,7,-13.396,1,0.0326,0.0505,0.00523,0.166,0.845,75.876,audio_features,212027,4
All The King's Horses,The Firm,Mean Business,1W9DHhVwvAjXxuBKIegw0L,30,https://p.scdn.co/mp3-preview/d7f710c101290a740498fb99ccaf6aa723a9ed7f?cid=3502c8805da84b25aa0305556012150b,0.449,0.467,9,-13.668,0,0.031,0.421,9.48e-05,0.215,0.346,125.642,audio_features,198467,4
Addicted To Love,Robert Palmer,Riptide,5izGeTxueiFX1UPFGohY9w,69,,0.702,0.578,2,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617,audio_features,363640,4
Why Can't This Be Love,Van Halen,5150,0TaT50ZZxT4ytZxuqkE3A9,69,https://p.scdn.co/mp3-preview/34a3c62e16816ffd3278fdd5d3a38cbcb48c0fab?cid=3502c8805da84b25aa0305556012150b,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,audio_features,227693,4
Stick Around,Julian Lennon,The Secret Value Of Daydreaming,7FIqkrMFzbORpWI8vjWp9L,26,,0.597,0.579,7,-10.724,1,0.0258,0.026,0.0218,0.149,0.557,88.822,audio_features,245560,4
Like A Rock,Bob Seger,Like A Rock,5Jno63iv0mzu5OZ28asYbE,57,,0.399,0.645,1,-5.356,1,0.0271,0.112,0.000551,0.255,0.384,82.795,audio_features,355798,4
Sledgehammer,Peter Gabriel,So (Remastered),029NqmIySn1kOY305AAhxT,67,,0.657,0.685,1,-5.203,1,0.0334,0.0246,0.0,0.037,0.424,96.458,audio_features,313533,4
Invisible Touch - 2007 Remaster,Genesis,Invisible Touch (2007 Remaster),0xpBr84T3FTm9j4D1MdPtk,70,https://p.scdn.co/mp3-preview/d35083ea94ad8078827fa465ec445cc46236ae07?cid=3502c8805da84b25aa0305556012150b,0.617,0.931,0,-6.845,1,0.0345,0.186,0.00166,0.171,0.849,131.014,audio_features,208027,4
Secret Separation,The Fixx,Walkabout,6Q7zSvNTtSWQsbXUh4jJOc,36,,0.599,0.828,9,-10.184,1,0.0302,0.00648,2.8e-05,0.0375,0.963,110.236,audio_features,231707,4
Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,4OZbWCJ3xPqWiIzxeNltq6,51,,0.7,0.811,5,-10.599,1,0.0382,0.0236,0.0842,0.0537,0.939,98.646,audio_features,243920,4
Missionary Man,Eurythmics,Revenge,1LgZRmGoSyiOOWxjTjMJy0,49,https://p.scdn.co/mp3-preview/54e891cdf396d361501256f574402052f05601c1?cid=3502c8805da84b25aa0305556012150b,0.593,0.85,10,-4.271,0,0.0582,0.0392,5.41e-06,0.248,0.567,124.894,audio_features,267947,4
Throwing It All Away - 2007 Remaster,Genesis,Invisible Touch (2007 Remaster),1dMilrhgON9TIGPVdWG2dX,59,https://p.scdn.co/mp3-preview/cb6afd3ec3d24732931c52d83b95bd98b17d8dce?cid=3502c8805da84b25aa0305556012150b,0.377,0.606,6,-7.409,1,0.0262,0.144,0.00877,0.0879,0.291,83.972,audio_features,229560,4
In Your Eyes,Peter Gabriel,So (Remastered),1wyluqXP2ujdTpCfm1E617,61,,0.622,0.713,11,-7.253,0,0.0357,0.0702,3.04e-06,0.104,0.639,89.448,audio_features,327947,4
Take Me Home Tonight,Eddie Money,Can't Hold Back,7b4yGtR0rujvLi5EBfKKJ2,72,https://p.scdn.co/mp3-preview/45bf2861dc0db6f92669b4e92aff4d4a4d729633?cid=3502c8805da84b25aa0305556012150b,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,audio_features,211160,4
Emotion In Motion,Ric Ocasek,This Side Of Paradise,5TknpiAJsKOhUM4HM3tFDX,46,,0.657,0.527,0,-12.107,1,0.029,0.3,0.234,0.0669,0.926,106.028,audio_features,280600,4
