Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Man On The Moon,R.E.M.,01.30.93,4,12 Wks,03.13.93
The One I Love,R.E.M.,09.05.87,2,12 Wks,10.03.87
Ignoreland,R.E.M.,11.28.92,4,12 Wks,01.23.93
Texarkana,R.E.M.,05.18.91,7,12 Wks,06.15.91
Strange Currencies,R.E.M.,05.20.95,8,12 Wks,07.01.95
Orange Crush,R.E.M.,11.12.88,1,2 WKS,11.26.88
Fall On Me,R.E.M.,08.09.86,5,12 Wks,09.06.86
Turn You Inside-Out,R.E.M.,03.11.89,7,12 Wks,04.22.89
South Central Rain (I'm Sorry),R.E.M.,05.26.84,43,12 Wks,07.07.84
Finest Worksong,R.E.M.,02.06.88,28,12 Wks,03.26.88
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,11.21.87,16,12 Wks,12.19.87
Can't Get There From Here,R.E.M.,07.06.85,14,12 Wks,07.27.85
Driver 8,R.E.M.,09.07.85,22,12 Wks,10.12.85
Shiny Happy People,R.E.M.,07.13.91,8,12 Wks,08.31.91
Star 69,R.E.M.,03.11.95,15,12 Wks,04.22.95
Superman,R.E.M.,11.01.86,17,12 Wks,11.22.86
Pop Song 89,R.E.M.,05.06.89,14,12 Wks,06.17.89
Crush With Eyeliner,R.E.M.,08.12.95,20,12 Wks,09.16.95
Lotus,R.E.M.,02.06.99,31,12 Wks,02.27.99
The Great Beyond,R.E.M.,12.25.99,33,12 Wks,01.29.00
Daysleeper,R.E.M.,10.24.98,30,12 Wks,11.14.98
E-Bow The Letter,R.E.M.,08.31.96,15,12 Wks,09.14.96
Radio Song,R.E.M.,10.12.91,43,12 Wks,10.19.91
The Sidewinder Sleeps Tonite,R.E.M.,05.08.93,28,12 Wks,05.29.93
The Wake-Up Bomb,R.E.M.,01.25.97,30,12 Wks,02.08.97
Ages Of You,R.E.M.,05.09.87,39,12 Wks,05.23.87
Radio Free Europe,R.E.M.,05.21.83,25,12 Wks,05.21.83
Supernatural Superserious,R.E.M.,03.22.08,36,12 Wks,04.05.08
Pretty Persuasion,R.E.M.,09.08.84,44,12 Wks,09.08.84
"Run, Runaway",Slade,03.31.84,1,2 WKS,05.19.84
"My, Oh My",Slade,02.25.84,32,12 Wks,03.10.84
Little Sheila,Slade,04.20.85,13,12 Wks,05.11.85
Broken Wings,Mr. Mister,08.24.85,4,12 Wks,10.26.85
Kyrie,Mr. Mister,12.14.85,1,1 WKS,02.01.86
Is It Love,Mr. Mister,03.22.86,17,12 Wks,04.26.86
"Something Real (Inside Me, Inside You)",Mr. Mister,08.22.87,27,12 Wks,09.19.87
Hunters Of The Night,Mr. Mister,04.07.84,36,12 Wks,04.21.84
Top Of The World,Van Halen,07.06.91,1,4 WKS,10.26.91
Right Now,Van Halen,06.29.91,2,12 Wks,01.11.92
PANAMA,Van Halen,01.21.84,2,12 Wks,03.03.84
Me Wise Magic,Van Halen,10.19.96,1,6 WKS,10.26.96
Can't Stop Lovin' You,Van Halen,02.18.95,2,12 Wks,04.15.95
Love Walks In,Van Halen,04.19.86,4,12 Wks,08.09.86
Finish What Ya Started,Van Halen,06.18.88,2,12 Wks,08.20.88
I'LL WAIT,Van Halen,02.04.84,2,12 Wks,04.28.84
Runaround,Van Halen,06.29.91,1,4 WKS,08.10.91
Don't Tell Me (What Love Can Do),Van Halen,01.14.95,1,3 WKS,01.21.95
Humans Being,Van Halen,05.04.96,1,2 WKS,05.25.96
Dreams,Van Halen,04.05.86,6,12 Wks,06.28.86
The Dream Is Over,Van Halen,02.22.92,7,12 Wks,04.11.92
Feels So Good,Van Halen,06.04.88,6,12 Wks,10.22.88
When It's Love,Van Halen,06.04.88,1,1 WKS,07.23.88
DANCING IN THE STREET,Van Halen,05.08.82,3,12 Wks,05.29.82
(Oh) Pretty Woman,Van Halen,02.06.82,1,2 WKS,03.13.82
She's The Woman,Van Halen,03.03.12,23,12 Wks,03.24.12
Best Of Both Worlds,Van Halen,04.05.86,12,12 Wks,05.24.86
Can't Get This Stuff No More,Van Halen,11.02.96,12,12 Wks,01.25.97
Fire In The Hole,Van Halen,05.02.98,6,12 Wks,05.23.98
Hot For Teacher,Van Halen,01.28.84,24,12 Wks,02.11.84
Mean Street,Van Halen,05.23.81,12,12 Wks,06.27.81
Why Can't This Be Love,Van Halen,03.15.86,1,3 WKS,04.05.86
JUMP,Van Halen,01.14.84,1,8 WKS,01.21.84
Without You,Van Halen,03.07.98,1,6 WKS,03.07.98
WHERE HAVE ALL THE GOOD TIMES GONE,Van Halen,05.08.82,17,12 Wks,05.08.82
Amsterdam,Van Halen,05.20.95,9,12 Wks,06.24.95
Poundcake,Van Halen,06.08.91,1,2 WKS,06.15.91
It's About Time,Van Halen,06.12.04,6,12 Wks,06.26.04
So This Is Love?,Van Halen,05.30.81,15,12 Wks,06.13.81
Unchained,Van Halen,06.06.81,13,12 Wks,06.20.81
Little Guitars,Van Halen,05.08.82,33,12 Wks,07.24.82
Black And Blue,Van Halen,05.14.88,1,3 WKS,06.04.88
Summer Nights,Van Halen,07.26.86,33,12 Wks,08.16.86
Won't Get Fooled Again,Van Halen,02.13.93,1,1 WKS,02.20.93
Not Enough,Van Halen,08.05.95,27,12 Wks,08.12.95
Man On A Mission,Van Halen,05.30.92,21,12 Wks,06.20.92
Tattoo,Van Halen,01.28.12,13,12 Wks,02.04.12
Cabo Wabo,Van Halen,12.10.88,31,12 Wks,12.24.88
SECRETS,Van Halen,06.12.82,22,12 Wks,06.12.82
One I Want,Van Halen,08.15.98,27,12 Wks,08.29.98
Up For Breakfast,Van Halen,08.28.04,33,12 Wks,09.04.04
Push Comes To Shove,Van Halen,06.13.81,29,12 Wks,06.27.81
The Seventh Seal,Van Halen,02.04.95,36,12 Wks,02.25.95
Mine All Mine,Van Halen,06.04.88,50,12 Wks,06.04.88
The Full Bug,Van Halen,06.12.82,42,12 Wks,06.12.82
It's Been Awhile,Staind,04.07.01,1,20 WKS,04.28.01
So Far Away,Staind,06.28.03,1,14 WKS,08.16.03
For You,Staind,12.22.01,3,12 Wks,04.20.02
Not Again,Staind,07.30.11,1,7 WKS,10.08.11
Right Here,Staind,05.28.05,1,2 WKS,09.17.05
Mudshovel,Staind,08.07.99,10,12 Wks,11.13.99
Home,Staind,02.12.00,11,12 Wks,05.27.00
Outside,Staind,05.19.01,11,12 Wks,07.07.01
Fade,Staind,08.25.01,3,12 Wks,11.24.01
Eyes Wide Open,Staind,12.10.11,5,12 Wks,04.14.12
Here And Now,Staind,09.30.23,2,12 Wks,12.09.23
Believe,Staind,07.12.08,4,12 Wks,09.20.08
How About You,Staind,11.22.03,10,12 Wks,02.21.04
Falling,Staind,10.22.05,7,12 Wks,02.04.06
Now,Staind,05.19.12,10,12 Wks,08.18.12
Lowest In Me,Staind,04.29.23,1,2 WKS,08.05.23
All I Want,Staind,12.20.08,20,12 Wks,03.14.09
Price To Play,Staind,04.19.03,2,12 Wks,06.07.03
Everything Changes,Staind,03.11.06,22,12 Wks,04.08.06
Just Go,Staind,04.03.99,24,12 Wks,06.05.99
Epiphany,Staind,05.11.02,22,12 Wks,06.29.02
This Is It,Staind,06.06.09,27,12 Wks,07.04.09
King Of All Excuses,Staind,07.15.06,27,12 Wks,09.02.06
Something To Remind You,Staind,12.08.12,34,12 Wks,01.12.13
Ready Or Not,Lou Gramm,02.28.87,7,12 Wks,05.02.87
Just Between You And Me,Lou Gramm,10.28.89,4,12 Wks,11.25.89
Midnight Blue,Lou Gramm,01.31.87,1,5 WKS,02.14.87
True Blue Love,Lou Gramm,02.10.90,23,12 Wks,03.10.90
Angel With A Dirty Face,Lou Gramm,05.19.90,42,12 Wks,06.02.90
Heartache,Lou Gramm,06.13.87,47,12 Wks,06.13.87
Heavy,Collective Soul,01.23.99,1,15 WKS,02.20.99
Why Pt.2,Collective Soul,09.30.00,2,12 Wks,10.21.00
Shine,Collective Soul,03.26.94,1,8 WKS,05.21.94
Gel,Collective Soul,01.28.95,2,12 Wks,03.18.95
December,Collective Soul,04.22.95,1,9 WKS,06.03.95
The World I Know,Collective Soul,11.11.95,1,4 WKS,02.03.96
Where The River Flows,Collective Soul,03.23.96,1,2 WKS,05.11.96
Precious Declaration,Collective Soul,02.15.97,1,4 WKS,04.12.97
Listen,Collective Soul,05.24.97,1,5 WKS,08.02.97
Counting The Days,Collective Soul,10.09.04,8,12 Wks,12.11.04
"No More, No Less",Collective Soul,06.19.99,10,12 Wks,08.14.99
Smashing Young Man,Collective Soul,08.19.95,8,12 Wks,10.14.95
Breathe,Collective Soul,08.06.94,12,12 Wks,10.08.94
She Said,Collective Soul,01.03.98,16,12 Wks,02.14.98
Right As Rain,Collective Soul,06.29.19,32,12 Wks,08.03.19
Blame,Collective Soul,09.27.97,11,12 Wks,10.25.97
Better Now,Collective Soul,02.26.05,35,12 Wks,03.05.05
Tremble For My Beloved,Collective Soul,10.09.99,35,12 Wks,10.23.99
Vent,Collective Soul,02.10.01,34,12 Wks,02.24.01
Next Homecoming,Collective Soul,11.03.01,39,12 Wks,11.10.01
Fall To Pieces,Velvet Revolver,08.07.04,1,11 WKS,10.02.04
Slither,Velvet Revolver,04.24.04,1,9 WKS,06.19.04
Dirty Little Thing,Velvet Revolver,12.25.04,8,12 Wks,03.12.05
She Builds Quick Machines,Velvet Revolver,06.02.07,2,12 Wks,08.11.07
The Last Fight,Velvet Revolver,09.08.07,16,12 Wks,10.13.07
Set Me Free,Velvet Revolver,07.05.03,17,12 Wks,08.09.03
"Come On, Come In",Velvet Revolver,07.09.05,14,12 Wks,08.13.05
Get Out The Door,Velvet Revolver,02.16.08,34,12 Wks,03.08.08
Nightmare,Avenged Sevenfold,06.05.10,2,12 Wks,09.11.10
Bat Country,Avenged Sevenfold,09.03.05,2,12 Wks,02.18.06
Scream,Avenged Sevenfold,10.04.08,9,12 Wks,03.14.09
Welcome To The Family,Avenged Sevenfold,11.06.10,2,12 Wks,02.19.11
Shepherd Of Fire,Avenged Sevenfold,11.16.13,1,7 WKS,02.01.14
Buried Alive,Avenged Sevenfold,10.08.11,2,12 Wks,12.24.11
Almost Easy,Avenged Sevenfold,10.06.07,3,12 Wks,01.05.08
Hail To The King,Avenged Sevenfold,08.03.13,1,11 WKS,08.24.13
So Far Away,Avenged Sevenfold,04.23.11,1,3 WKS,07.30.11
Afterlife,Avenged Sevenfold,03.22.08,11,12 Wks,06.28.08
Carry On,Avenged Sevenfold,10.13.12,2,12 Wks,02.09.13
Nobody,Avenged Sevenfold,03.25.23,2,12 Wks,08.19.23
Mattel,Avenged Sevenfold,09.30.23,17,12 Wks,12.30.23
Mad Hatter,Avenged Sevenfold,09.29.18,9,12 Wks,12.08.18
This Means War,Avenged Sevenfold,04.26.14,4,12 Wks,06.21.14
The Stage,Avenged Sevenfold,10.29.16,4,12 Wks,12.24.16
God Damn,Avenged Sevenfold,03.25.17,9,12 Wks,05.20.17
Seize The Day,Avenged Sevenfold,07.22.06,17,12 Wks,10.21.06
Beast And The Harlot,Avenged Sevenfold,03.11.06,19,12 Wks,05.27.06
Wish You Were Here,Avenged Sevenfold,11.04.17,16,12 Wks,12.30.17
Interstate Love Song,Stone Temple Pilots,08.20.94,1,15 WKS,09.17.94
Plush,Stone Temple Pilots,03.20.93,1,1 WKS,06.26.93
Creep,Stone Temple Pilots,11.13.93,2,12 Wks,02.19.94
Big Empty,Stone Temple Pilots,04.23.94,3,12 Wks,06.04.94
Vasoline,Stone Temple Pilots,06.11.94,1,2 WKS,09.03.94
Lady Picture Show,Stone Temple Pilots,10.26.96,1,1 WKS,01.18.97
Trippin' On A Hole In A Paper Heart,Stone Temple Pilots,05.11.96,1,4 WKS,07.27.96
Sour Girl,Stone Temple Pilots,04.22.00,4,12 Wks,07.01.00
Down,Stone Temple Pilots,10.02.99,5,12 Wks,10.23.99
Wicked Garden,Stone Temple Pilots,07.31.93,11,12 Wks,10.02.93
Out Of Time,Stone Temple Pilots With Chester Bennington,06.08.13,1,1 WKS,08.17.13
Meadow,Stone Temple Pilots,12.02.17,6,12 Wks,02.10.18
Black Heart,Stone Temple Pilots With Chester Bennington,10.12.13,13,12 Wks,12.28.13
Between The Lines,Stone Temple Pilots,04.03.10,2,12 Wks,05.01.10
Roll Me Under,Stone Temple Pilots,04.14.18,16,12 Wks,06.09.18
Dancing Days,Stone Temple Pilots,03.25.95,3,12 Wks,04.29.95
Big Bang Baby,Stone Temple Pilots,03.23.96,1,1 WKS,05.04.96
Unglued,Stone Temple Pilots,12.24.94,8,12 Wks,02.11.95
All In The Suit That You Wear,Stone Temple Pilots,11.01.03,5,12 Wks,11.22.03
Tumble In The Rough,Stone Temple Pilots,02.15.97,9,12 Wks,04.19.97
Take A Load Off,Stone Temple Pilots,07.10.10,23,12 Wks,08.28.10
Days Of The Week,Stone Temple Pilots,06.16.01,4,12 Wks,07.28.01
Heaven & Hot Rods,Stone Temple Pilots,01.01.00,17,12 Wks,02.12.00
Pretty Penny,Stone Temple Pilots,03.18.95,12,12 Wks,04.22.95
No Way Out,Stone Temple Pilots,10.21.00,17,12 Wks,11.18.00
Hollywood Bitch,Stone Temple Pilots,09.01.01,25,12 Wks,10.06.01
Sex Type Thing,Stone Temple Pilots,01.02.93,23,12 Wks,01.23.93
Fare Thee Well,Stone Temple Pilots,12.28.19,34,12 Wks,02.08.20
Revolution,Stone Temple Pilots,11.17.01,30,12 Wks,12.01.01
Break On Through,Stone Temple Pilots,12.23.00,35,12 Wks,12.30.00
Higher,Creed,09.11.99,1,17 WKS,09.25.99
My Own Prison,Creed,08.30.97,2,12 Wks,11.08.97
What's This Life For,Creed,06.20.98,1,6 WKS,09.19.98
One,Creed,12.19.98,2,12 Wks,03.13.99
With Arms Wide Open,Creed,04.22.00,1,4 WKS,07.08.00
Torn,Creed,02.21.98,3,12 Wks,06.06.98
My Sacrifice,Creed,10.27.01,1,9 WKS,12.15.01
Are You Ready?,Creed,09.09.00,4,12 Wks,11.11.00
Weathered,Creed,11.23.02,7,12 Wks,02.01.03
One Last Breath,Creed,04.27.02,5,12 Wks,06.22.02
What If,Creed,01.08.00,3,12 Wks,02.19.00
Overcome,Creed,09.05.09,4,12 Wks,10.17.09
A Thousand Faces,Creed,02.13.10,23,12 Wks,04.10.10
Riders On The Storm,Creed,12.16.00,28,12 Wks,01.13.01
Bullets,Creed,02.02.02,11,12 Wks,03.02.02
It's Money That Matters,Randy Newman,10.01.88,1,2 WKS,11.12.88
Psycho,Puddle Of Mudd,10.20.07,1,9 WKS,02.23.08
Blurry,Puddle Of Mudd,11.03.01,1,10 WKS,02.16.02
Control,Puddle Of Mudd,07.07.01,3,12 Wks,09.29.01
Drift & Die,Puddle Of Mudd,04.20.02,1,6 WKS,06.29.02
She Hates Me,Puddle Of Mudd,08.10.02,1,1 WKS,10.26.02
Away From Me,Puddle Of Mudd,10.25.03,1,3 WKS,12.13.03
Famous,Puddle Of Mudd,06.02.07,2,12 Wks,08.25.07
Uh Oh,Puddle Of Mudd,08.03.19,9,12 Wks,11.30.19
Spaceship,Puddle Of Mudd,11.07.09,6,12 Wks,01.02.10
Stoned,Puddle Of Mudd,03.27.10,6,12 Wks,06.05.10
Heel Over Head,Puddle Of Mudd,02.21.04,6,12 Wks,05.08.04
Livin' On Borrowed Time,Puddle Of Mudd,08.30.08,15,12 Wks,11.08.08
Spin You Around,Puddle Of Mudd,06.19.04,16,12 Wks,07.31.04
Gimme Shelter,Puddle Of Mudd,08.13.11,26,12 Wks,09.03.11
We Don't Have To Look Back Now,Puddle Of Mudd,06.07.08,31,12 Wks,07.05.08
Start Me Up,The Rolling Stones,08.22.81,1,13 WKS,09.05.81
SHE WAS HOT,The Rolling Stones,11.19.83,4,12 Wks,02.04.84
You Got Me Rocking,The Rolling Stones,07.23.94,2,12 Wks,10.01.94
Rock And A Hard Place,The Rolling Stones,09.09.89,1,5 WKS,10.21.89
Saint Of Me,The Rolling Stones,11.22.97,13,12 Wks,02.28.98
Love Is Strong,The Rolling Stones,07.09.94,2,12 Wks,07.23.94
Hang Fire,The Rolling Stones,09.26.81,2,12 Wks,10.10.81
Angry,Rolling Stones,10.07.23,29,12 Wks,12.02.23
Anybody Seen My Baby?,The Rolling Stones,09.20.97,3,12 Wks,09.27.97
One Hit To The Body,The Rolling Stones,04.05.86,3,12 Wks,04.26.86
Don't Stop,The Rolling Stones,09.14.02,21,12 Wks,10.05.02
Little T & A,The Rolling Stones,10.10.81,5,12 Wks,11.21.81
Rough Justice,The Rolling Stones,08.13.05,25,12 Wks,09.03.05
Terrifying,The Rolling Stones,09.23.89,8,12 Wks,12.30.89
Out Of Tears,The Rolling Stones,10.29.94,14,12 Wks,11.19.94
UNDERCOVER OF THE NIGHT,The Rolling Stones,11.12.83,2,12 Wks,11.26.83
Waiting On A Friend,The Rolling Stones,11.28.81,8,12 Wks,01.30.82
Almost Hear You Sigh,The Rolling Stones,01.20.90,1,1 WKS,03.10.90
Winning Ugly,The Rolling Stones,04.12.86,10,12 Wks,04.26.86
Flip The Switch,The Rolling Stones,11.22.97,14,12 Wks,12.27.97
GOING TO A GO GO,The Rolling Stones,06.12.82,5,12 Wks,07.03.82
TOO TOUGH,The Rolling Stones,11.19.83,14,12 Wks,11.26.83
TOO MUCH BLOOD,The Rolling Stones,12.17.83,38,12 Wks,12.17.83
Highwire,The Rolling Stones,03.09.91,1,3 WKS,03.16.91
Sad Sad Sad,The Rolling Stones,09.09.89,14,12 Wks,09.30.89
Harlem Shuffle,The Rolling Stones,03.15.86,2,12 Wks,03.22.86
Mixed Emotions,The Rolling Stones,09.02.89,1,5 WKS,09.02.89
I Go Wild,The Rolling Stones,04.01.95,20,12 Wks,05.06.95
Like A Rolling Stone,The Rolling Stones,11.18.95,16,12 Wks,11.25.95
Sparks Will Fly,The Rolling Stones,01.07.95,30,12 Wks,01.28.95
Doom And Gloom,The Rolling Stones,12.01.12,35,12 Wks,12.01.12
Gimme Shelter (Live),The Rolling Stones,12.05.98,29,12 Wks,12.05.98
"Oh No, Not You Again",The Rolling Stones,11.19.05,34,12 Wks,12.24.05
If I Was A Dancer (Dance Pt. 2),The Rolling Stones,04.18.81,26,12 Wks,04.25.81
Sex Drive,The Rolling Stones,05.25.91,40,12 Wks,06.08.91
Think I'm Going Mad,The Rolling Stones,03.03.84,50,12 Wks,03.10.84
Gimme Shelter,The Rolling Stones,11.28.98,35,12 Wks,11.28.98
Scar Tissue,Red Hot Chili Peppers,06.05.99,1,10 WKS,07.17.99
Otherside,Red Hot Chili Peppers,01.29.00,2,12 Wks,04.15.00
Californication,Red Hot Chili Peppers,07.01.00,1,2 WKS,08.26.00
My Friends,Red Hot Chili Peppers,10.07.95,1,4 WKS,12.09.95
By The Way,Red Hot Chili Peppers,06.15.02,1,7 WKS,08.10.02
Can't Stop,Red Hot Chili Peppers,01.04.03,15,12 Wks,03.01.03
Dani California,Red Hot Chili Peppers,04.22.06,1,12 WKS,05.06.06
Snow ((Hey Oh)),Red Hot Chili Peppers,11.18.06,3,12 Wks,02.03.07
Dark Necessities,Red Hot Chili Peppers,05.21.16,1,3 WKS,07.23.16
Black Summer,Red Hot Chili Peppers,02.12.22,2,12 Wks,03.19.22
Monarchy Of Roses,Red Hot Chili Peppers,11.12.11,16,12 Wks,02.04.12
Tippa My Tongue,Red Hot Chili Peppers,08.27.22,2,12 Wks,12.03.22
Go Robot,Red Hot Chili Peppers,10.22.16,20,12 Wks,02.11.17
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,07.30.11,2,12 Wks,08.20.11
Tell Me Baby,Red Hot Chili Peppers,08.12.06,8,12 Wks,11.04.06
Under The Bridge,Red Hot Chili Peppers,04.04.92,2,12 Wks,05.16.92
Soul To Squeeze,Red Hot Chili Peppers,08.21.93,7,12 Wks,10.02.93
Look Around,Red Hot Chili Peppers,03.10.12,12,12 Wks,05.12.12
Aeroplane,Red Hot Chili Peppers,02.03.96,12,12 Wks,03.30.96
Around The World,Red Hot Chili Peppers,10.23.99,16,12 Wks,11.27.99
Fortune Faded,Red Hot Chili Peppers,11.22.03,22,12 Wks,12.06.03
Breaking The Girl,Red Hot Chili Peppers,08.08.92,15,12 Wks,09.26.92
Warped,Red Hot Chili Peppers,09.02.95,13,12 Wks,09.30.95
Hump De Bump,Red Hot Chili Peppers,04.14.07,27,12 Wks,05.05.07
The Zephyr Song,Red Hot Chili Peppers,10.12.02,14,12 Wks,11.23.02
Higher Ground,Red Hot Chili Peppers,12.02.89,26,12 Wks,12.30.89
These Are The Ways,Red Hot Chili Peppers,06.18.22,27,12 Wks,07.09.22
Bad Love,Eric Clapton,11.25.89,1,3 WKS,01.27.90
One Of Those Days,Ozzy Osbourne Featuring Eric Clapton,09.24.22,3,12 Wks,12.17.22
Help Me Up,Eric Clapton,02.08.92,6,12 Wks,04.11.92
Tears In Heaven,Eric Clapton,01.11.92,9,12 Wks,02.08.92
Layla,Eric Clapton,09.05.92,9,12 Wks,10.17.92
No Alibis,Eric Clapton,02.24.90,4,12 Wks,03.24.90
Before You Accuse Me,Eric Clapton,05.05.90,9,12 Wks,06.23.90
It's In The Way You Use It,Eric Clapton,11.08.86,1,1 WKS,01.10.87
Tearing Us Apart,Eric Clapton,12.13.86,5,12 Wks,02.07.87
She's Gone,Eric Clapton,04.04.98,19,12 Wks,05.02.98
I'VE GOT A ROCK N' ROLL HEART,Eric Clapton,02.05.83,24,12 Wks,02.19.83
Pretending,Eric Clapton,11.11.89,1,5 WKS,11.25.89
Miss You,Eric Clapton,01.24.87,9,12 Wks,03.14.87
Running On Faith,Eric Clapton,03.06.93,15,12 Wks,05.08.93
Tore Down,Eric Clapton,09.10.94,5,12 Wks,10.01.94
Stone Free,Eric Clapton,11.13.93,4,12 Wks,12.04.93
Watch Yourself,Eric Clapton,10.19.91,21,12 Wks,11.09.91
Forever Man,Eric Clapton,03.09.85,1,2 WKS,04.06.85
See What Love Can Do,Eric Clapton,05.11.85,20,12 Wks,06.22.85
I Can't Stand It,Eric Clapton And His Band,03.21.81,1,2 WKS,03.21.81
She's Waiting,Eric Clapton,03.30.85,11,12 Wks,04.27.85
Riding With The King,B.B. King & Eric Clapton,06.17.00,26,12 Wks,07.15.00
Superman Inside,Eric Clapton,03.03.01,21,12 Wks,03.31.01
Motherless Child,Eric Clapton,12.03.94,23,12 Wks,12.31.94
After Midnight,Eric Clapton,04.30.88,4,12 Wks,05.14.88
Run,Eric Clapton,04.11.87,21,12 Wks,05.16.87
Runaway Train,Elton John Featuring Eric Clapton,08.15.92,10,12 Wks,09.05.92
My Father's Eyes,Eric Clapton,02.21.98,26,12 Wks,02.28.98
It's Probably Me,Sting With Eric Clapton,06.13.92,20,12 Wks,07.04.92
Run So Far,Eric Clapton,08.11.90,40,12 Wks,09.01.90
AIN't GOING DOWN,Eric Clapton,03.12.83,32,12 Wks,03.19.83
Don't Need A Gun,Billy Idol,11.15.86,10,12 Wks,01.17.87
REBEL YELL,Billy Idol,11.26.83,9,12 Wks,01.21.84
WHITE WEDDING,Billy Idol,04.02.83,4,12 Wks,05.07.83
To Be A Lover,Billy Idol,10.04.86,2,12 Wks,11.01.86
Cradle Of Love,Billy Idol,05.05.90,1,2 WKS,06.23.90
Eyes Without A Face,Billy Idol,05.12.84,5,12 Wks,06.30.84
Scream,Billy Idol,02.12.05,26,12 Wks,03.26.05
Flesh For Fantasy,Billy Idol,08.18.84,8,12 Wks,09.22.84
L.A. Woman,Billy Idol,07.28.90,18,12 Wks,09.01.90
Prodigal Blues,Billy Idol,11.24.90,35,12 Wks,01.05.91
Sweet Sixteen,Billy Idol,03.28.87,26,12 Wks,04.11.87
Shock To The System,Billy Idol,06.19.93,7,12 Wks,07.10.93
Mony Mony,Billy Idol,09.05.87,27,12 Wks,09.26.87
Catch My Fall,Billy Idol,11.24.84,24,12 Wks,12.08.84
Speed,Billy Idol,07.23.94,38,12 Wks,07.23.94
HOT IN THE CITY,Billy Idol,08.28.82,31,12 Wks,08.28.82
So Cold,Breaking Benjamin,05.15.04,2,12 Wks,09.04.04
I Will Not Bow,Breaking Benjamin,08.29.09,1,2 WKS,11.28.09
The Diary Of Jane,Breaking Benjamin,06.17.06,2,12 Wks,09.30.06
Breath,Breaking Benjamin,01.20.07,1,7 WKS,03.24.07
Angels Fall,Breaking Benjamin,07.25.15,1,4 WKS,11.07.15
Never Again,Breaking Benjamin,11.05.16,1,2 WKS,04.01.17
Failure,Breaking Benjamin,04.11.15,1,9 WKS,05.23.15
Waiting On The Sky To Change,STARSET Featuring Breaking Benjamin,09.03.22,2,12 Wks,02.18.23
Until The End,Breaking Benjamin,10.27.07,6,12 Wks,03.01.08
Sooner Or Later,Breaking Benjamin,01.15.05,2,12 Wks,04.16.05
Far Away,Breaking Benjamin Featuring Scooter Ward,12.21.19,1,3 WKS,04.18.20
Blow Me Away,Breaking Benjamin,06.18.11,5,12 Wks,09.17.11
Tourniquet,Breaking Benjamin,01.19.19,6,12 Wks,04.13.19
Torn In Two,Breaking Benjamin,06.02.18,1,1 WKS,09.22.18
Red Cold River,Breaking Benjamin,01.13.18,2,12 Wks,03.31.18
Give Me A Sign (Forever And Ever),Breaking Benjamin,01.23.10,6,12 Wks,04.17.10
Lights Out,Breaking Benjamin,06.26.10,9,12 Wks,09.04.10
Dear Agony (Aurora Version),Breaking Benjamin & Lacey Sturm,06.13.20,13,12 Wks,09.05.20
Ashes Of Eden,Breaking Benjamin,06.04.16,18,12 Wks,07.30.16
Polyamorous,Breaking Benjamin,07.27.02,19,12 Wks,09.28.02
Skin,Breaking Benjamin,03.08.03,24,12 Wks,05.03.03
Rain (2005),Breaking Benjamin,07.09.05,23,12 Wks,08.20.05
Safari Song,Greta Van Fleet,11.04.17,1,3 WKS,02.24.18
Highway Tune,Greta Van Fleet,06.17.17,1,5 WKS,09.16.17
Built By Nations,Greta Van Fleet,08.21.21,6,12 Wks,12.25.21
Heat Above,Greta Van Fleet,02.27.21,3,12 Wks,07.03.21
When The Curtain Falls,Greta Van Fleet,07.28.18,1,1 WKS,11.10.18
"Lover, Leaver",Greta Van Fleet,05.18.19,3,12 Wks,08.31.19
You're The One,Greta Van Fleet,12.08.18,1,2 WKS,03.16.19
"My Way, Soon",Greta Van Fleet,10.17.20,1,1 WKS,01.30.21
The Falling Sky,Greta Van Fleet,08.05.23,9,12 Wks,11.11.23
Meeting The Master,Greta Van Fleet,04.22.23,12,12 Wks,06.03.23
Black Smoke Rising,Greta Van Fleet,06.02.18,39,12 Wks,06.02.18
La Vita E Uno Specchio,Ghost,11.20.10,5,12 Wks,02.19.11
Dimenticami,Ghost,12.17.11,7,12 Wks,12.31.11
Hai Una Vita Ancora,Ghost,10.22.16,3,12 Wks,10.29.16
Movimento,Ghost,10.04.14,4,12 Wks,10.04.14
Vivi E Lascia Vivere,Ghost,07.02.11,10,12 Wks,07.02.11
Don't Tear Me Up,Mick Jagger,01.30.93,1,1 WKS,02.13.93
God Gave Me Everything,Mick Jagger,10.27.01,24,12 Wks,11.24.01
Wired All Night,Mick Jagger,03.13.93,3,12 Wks,05.01.93
Just Another Night,Mick Jagger,02.09.85,1,2 WKS,03.02.85
Lonely At The Top,Mick Jagger,03.09.85,9,12 Wks,04.06.85
Lucky In Love,Mick Jagger,04.27.85,5,12 Wks,06.01.85
Throwaway,Mick Jagger,09.26.87,7,12 Wks,10.31.87
Ruthless People,Mick Jagger,06.28.86,14,12 Wks,07.26.86
Dancing In The Street,David Bowie & Mick Jagger,08.31.85,3,12 Wks,09.14.85
Let's Work,Mick Jagger,09.12.87,7,12 Wks,09.19.87
Sweet Thing,Mick Jagger,01.30.93,34,12 Wks,01.30.93
Say You Will,Mick Jagger,12.05.87,39,12 Wks,12.05.87
